"SCALE","ENTITY","VARIANT","URL"
"1:10m","Admin 0 – Countries","countries","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries.zip"
"1:10m","Admin 0 – Countries","without boundary lakes","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_lakes.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Argentina POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_arg.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Bangladesh POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_bdg.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Brazil POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_bra.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (China POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_chn.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Egypt POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_egy.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (France POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_fra.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Germany POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_deu.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Greece POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_grc.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Indonesia POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_idn.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (India POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_ind.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (ISO POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_iso.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Israel POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_isr.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Italy POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_ita.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Japan POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_jpn.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (South Korea POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_kor.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Morocco POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_mar.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Nepal POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_nep.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Netherlands POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_nld.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Pakistan POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_pak.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Poland POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_pol.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Portugal POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_prt.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Palestine POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_pse.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Russia POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_rus.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Saudi Arabia POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_sau.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Spain POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_esp.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Sweden POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_swe.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (top-level-countries POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_tlc.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Turkey POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_tur.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Taiwan POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_twn.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (United Kingdom POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_gbr.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (United States POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_usa.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Ukraine POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_ukr.zip"
"1:10m","Admin 0 – Countries point-of-views","countries (Vietnam POV)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_countries_vnm.zip"
"1:10m","Admin 0 – Details","sovereignty","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_sovereignty.zip"
"1:10m","Admin 0 – Details","map units","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_map_units.zip"
"1:10m","Admin 0 – Details","map subunits","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_map_subunits.zip"
"1:10m","Admin 0 – Details","scale ranks","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_scale_rank.zip"
"1:10m","Admin 0 – Details","scale ranks with minor islands","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_scale_rank_minor_islands.zip"
"1:10m","Admin 0 – Boundary Lines","land boundaries","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_boundary_lines_land.zip"
"1:10m","Admin 0 – Boundary Lines","map unit lines","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_boundary_lines_map_units.zip"
"1:10m","Admin 0 – Boundary Lines","maritime indicators","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_boundary_lines_maritime_indicator.zip"
"1:10m","Admin 0 – Boundary Lines","maritime indicators China supplement","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_boundary_lines_maritime_indicator_chn.zip"
"1:10m","Admin 0 – Boundary Lines","Pacific grouping lines","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_pacific_groupings.zip"
"1:10m","Admin 0 – Breakaway, Disputed Areas","breakaway and disputed areas","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_disputed_areas.zip"
"1:10m","Admin 0 – Breakaway, Disputed Areas","with scale ranks","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_disputed_areas_scale_rank_minor_islands.zip"
"1:10m","Admin 0 – Breakaway, Disputed Areas","boundary lines","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_boundary_lines_disputed_areas.zip"
"1:10m","Admin 0 – Breakaway, Disputed Areas","Antarctic claims","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_antarctic_claims.zip"
"1:10m","Admin 0 – Breakaway, Disputed Areas","Antarctic claim limit lines","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_antarctic_claim_limit_lines.zip"
"1:10m","Admin 1 – States, Provinces","states and provinces","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_1_states_provinces.zip"
"1:10m","Admin 1 – States, Provinces","as scale ranks","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_1_states_provinces_scale_rank.zip"
"1:10m","Admin 1 – States, Provinces","without large lakes","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_1_states_provinces_lakes.zip"
"1:10m","Admin 1 – States, Provinces","boundary lines","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_1_states_provinces_lines.zip"
"1:10m","Admin 2 – Counties","counties","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_2_counties.zip"
"1:10m","Admin 2 – Counties","without large lakes","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_2_counties_lakes.zip"
"1:10m","Admin 2 – Counties","as scale ranks","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_2_counties_scale_rank.zip"
"1:10m","Admin 2 – Counties","scale ranks with minor islands","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_2_counties_scale_rank_minor_islands.zip"
"1:10m","Populated Places","populated places","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_populated_places.zip"
"1:10m","Populated Places","simple (less columns)","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_populated_places_simple.zip"
"1:10m","Roads","roads","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_roads.zip"
"1:10m","Roads","North America supplement","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_roads_north_america.zip"
"1:10m","Railroads","railroads","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_railroads.zip"
"1:10m","Railroads","North America supplement","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_railroads_north_america.zip"
"1:10m","Airports","airports","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_airports.zip"
"1:10m","Ports","ports","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_ports.zip"
"1:10m","Urban Areas","urban areas","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_urban_areas.zip"
"1:10m","Parks and Protected Lands","U.S. national parks","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_parks_and_protected_lands.zip"
"1:10m","Timezones","time zones","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_time_zones.zip"
"1:10m","Cultural Building Blocks – 10m","admin 0 label points","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_label_points.zip"
"1:10m","Cultural Building Blocks – 10m","admin 0 seams","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_0_seams.zip"
"1:10m","Cultural Building Blocks – 10m","admin 1 label points","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_1_label_points.zip"
"1:10m","Cultural Building Blocks – 10m","admin 1 label points details","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_1_label_points_details.zip"
"1:10m","Cultural Building Blocks – 10m","admin 1 seams","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_1_seams.zip"
"1:10m","Cultural Building Blocks – 10m","admin 2 label points","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_2_label_points.zip"
"1:10m","Cultural Building Blocks – 10m","admin 2 label points details","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_admin_2_label_points_details.zip"
"1:10m","Cultural Building Blocks – 10m","all cultural building blocks","https://naciscdn.org/naturalearth/10m/cultural/ne_10m_cultural_building_blocks_all.zip"
"1:10m","Coastline","coastline","https://naciscdn.org/naturalearth/10m/physical/ne_10m_coastline.zip"
"1:10m","Land","land","https://naciscdn.org/naturalearth/10m/physical/ne_10m_land.zip"
"1:10m","Land","scale rank","https://naciscdn.org/naturalearth/10m/physical/ne_10m_land_scale_rank.zip"
"1:10m","Minor Islands","minor islands","https://naciscdn.org/naturalearth/10m/physical/ne_10m_minor_islands.zip"
"1:10m","Minor Islands","minor island coastline","https://naciscdn.org/naturalearth/10m/physical/ne_10m_minor_islands_coastline.zip"
"1:10m","Reefs","reefs","https://naciscdn.org/naturalearth/10m/physical/ne_10m_reefs.zip"
"1:10m","Ocean","ocean","https://naciscdn.org/naturalearth/10m/physical/ne_10m_ocean.zip"
"1:10m","Ocean","scale rank","https://naciscdn.org/naturalearth/10m/physical/ne_10m_ocean_scale_rank.zip"
"1:10m","Rivers + lake centerlines","rivers and lake centerlines","https://naciscdn.org/naturalearth/10m/physical/ne_10m_rivers_lake_centerlines.zip"
"1:10m","Rivers + lake centerlines","with scale ranks + tapering","https://naciscdn.org/naturalearth/10m/physical/ne_10m_rivers_lake_centerlines_scale_rank.zip"
"1:10m","Rivers + lake centerlines","Australia supplement","https://naciscdn.org/naturalearth/10m/physical/ne_10m_rivers_australia.zip"
"1:10m","Rivers + lake centerlines","Europe supplement","https://naciscdn.org/naturalearth/10m/physical/ne_10m_rivers_europe.zip"
"1:10m","Rivers + lake centerlines","North America supplement","https://naciscdn.org/naturalearth/10m/physical/ne_10m_rivers_north_america.zip"
"1:10m","Lakes + Reservoirs","lakes","https://naciscdn.org/naturalearth/10m/physical/ne_10m_lakes.zip"
"1:10m","Lakes + Reservoirs","historic lakes","https://naciscdn.org/naturalearth/10m/physical/ne_10m_lakes_historic.zip"
"1:10m","Lakes + Reservoirs","pluvial lakes","https://naciscdn.org/naturalearth/10m/physical/ne_10m_lakes_pluvial.zip"
"1:10m","Lakes + Reservoirs","Australia supplement","https://naciscdn.org/naturalearth/10m/physical/ne_10m_lakes_australia.zip"
"1:10m","Lakes + Reservoirs","Europe supplement","https://naciscdn.org/naturalearth/10m/physical/ne_10m_lakes_europe.zip"
"1:10m","Lakes + Reservoirs","North America supplement","https://naciscdn.org/naturalearth/10m/physical/ne_10m_lakes_north_america.zip"
"1:10m","Physical Labels","label areas","https://naciscdn.org/naturalearth/10m/physical/ne_10m_geography_regions_polys.zip"
"1:10m","Physical Labels","label points","https://naciscdn.org/naturalearth/10m/physical/ne_10m_geography_regions_points.zip"
"1:10m","Physical Labels","elevation points","https://naciscdn.org/naturalearth/10m/physical/ne_10m_geography_regions_elevation_points.zip"
"1:10m","Physical Labels","marine areas","https://naciscdn.org/naturalearth/10m/physical/ne_10m_geography_marine_polys.zip"
"1:10m","Playas","playas","https://naciscdn.org/naturalearth/10m/physical/ne_10m_playas.zip"
"1:10m","Antarctic Ice Shelves","Antarctic ice shelves","https://naciscdn.org/naturalearth/10m/physical/ne_10m_antarctic_ice_shelves_polys.zip"
"1:10m","Antarctic Ice Shelves","Antarctic ice shelve edge","https://naciscdn.org/naturalearth/10m/physical/ne_10m_antarctic_ice_shelves_lines.zip"
"1:10m","Glaciated Areas","glaciated areas","https://naciscdn.org/naturalearth/10m/physical/ne_10m_glaciated_areas.zip"
"1:10m","Bathymetry","all","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_all.zip"
"1:10m","Bathymetry","0m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_L_0.zip"
"1:10m","Bathymetry","200m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_K_200.zip"
"1:10m","Bathymetry","1,000 m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_J_1000.zip"
"1:10m","Bathymetry","2,000 m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_I_2000.zip"
"1:10m","Bathymetry","3,000 m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_H_3000.zip"
"1:10m","Bathymetry","4,000 m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_G_4000.zip"
"1:10m","Bathymetry","5,000 m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_F_5000.zip"
"1:10m","Bathymetry","6,000 m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_E_6000.zip"
"1:10m","Bathymetry","7,000 m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_D_7000.zip"
"1:10m","Bathymetry","8,000 m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_C_8000.zip"
"1:10m","Bathymetry","9,000 m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_B_9000.zip"
"1:10m","Bathymetry","10,000 m","https://naciscdn.org/naturalearth/10m/physical/ne_10m_bathymetry_A_10000.zip"
"1:10m","Geographic lines","geographic lines","https://naciscdn.org/naturalearth/10m/physical/ne_10m_geographic_lines.zip"
"1:10m","Graticules","all graticules","https://naciscdn.org/naturalearth/10m/physical/ne_10m_graticules_all.zip"
"1:10m","Graticules","1 degree","https://naciscdn.org/naturalearth/10m/physical/ne_10m_graticules_1.zip"
"1:10m","Graticules","5","https://naciscdn.org/naturalearth/10m/physical/ne_10m_graticules_5.zip"
"1:10m","Graticules","10","https://naciscdn.org/naturalearth/10m/physical/ne_10m_graticules_10.zip"
"1:10m","Graticules","15","https://naciscdn.org/naturalearth/10m/physical/ne_10m_graticules_15.zip"
"1:10m","Graticules","20","https://naciscdn.org/naturalearth/10m/physical/ne_10m_graticules_20.zip"
"1:10m","Graticules","30","https://naciscdn.org/naturalearth/10m/physical/ne_10m_graticules_30.zip"
"1:10m","Graticules","bounding box","https://naciscdn.org/naturalearth/10m/physical/ne_10m_wgs84_bounding_box.zip"
"1:10m","Physical Building Blocks","land and ocean label points","https://naciscdn.org/naturalearth/10m/physical/ne_10m_land_ocean_label_points.zip"
